,created_at,filename,lat,long,PM2.5 ATM Mean,PM2.5 CF1 Mean
27,2019-01-01 00:00:00 UTC,AQMD_NASA_49 (outside) (33.980699 -117.953697) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,33.980699,-117.953697,12.446135986733006,13.045472636815914
28,2019-01-01 00:00:00 UTC,AQMD_NASA_5_after_07062018 (outside) (34.155279 -118.568238) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.155279,-118.568238,138.6738119658121,203.93232478632495
29,2019-01-01 00:00:00 UTC,AQMD_NASA_38 (outside) (34.174784 -118.126993) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.174784,-118.126993,11.967480916030544,12.465928753180668
30,2019-03-19 00:00:00 UTC,CCA La Kretz Innovation Center LACI (outside) (34.041235 -118.23559) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.041235,-118.23559,29.514999999999997,42.425
31,2019-01-01 00:00:00 UTC,AQMD_NASA_26 (outside) (34.161382 -118.063419) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.161382,-118.063419,12.638447319778194,13.113493530499067
32,2019-01-01 00:00:00 UTC,CCA Amherst and Idaho (outside) (34.038121 -118.462152) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.038121,-118.462152,7.691144278606963,8.824892205638472
33,2019-01-01 00:00:00 UTC,AQMD_NASA_41 (outside) (34.081702 -118.367503) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.081702,-118.367503,14.749200000000016,15.456450000000023
34,2019-01-01 00:00:00 UTC,AQMD_NASA_29 (outside) (34.076629 -118.222371) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.076629,-118.222371,15.231139240506339,16.30461121157322
35,2019-01-01 00:00:00 UTC,BikeSGV - Baldwin Park (undefined) (34.096551 -117.970322) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.096551,-117.970322,8.973432835820907,9.23351575456054
36,2019-02-20 00:00:00 UTC,AQMD_NASA_287 (outside) (34.012216 -118.100929) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.012216,-118.100929,19.32265625000001,22.007187500000008
37,2019-01-01 00:00:00 UTC,CCA Crystal and Gatewood (outside) (34.089393 -118.231105) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.089393,-118.231105,15.156000000000006,15.93340298507461
38,2019-08-09 00:00:00 UTC,CCA Ewing and Valentine (outside) (34.087411 -118.249427) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.087411,-118.249427,13.875301724137932,14.964482758620685
39,2019-01-01 00:00:00 UTC,Colfax Meadows (outside) (34.149782 -118.383025) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.149782,-118.383025,12.220281923714774,12.747462686567186
40,2019-01-01 00:00:00 UTC,AQMD_NASA_25 (outside) (34.141759 -118.060746) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.141759,-118.060746,14.163664717348922,14.830662768031187
41,2019-01-17 00:00:00 UTC,AQMD_NASA_14 (outside) (33.99827 -118.437545) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,33.99827,-118.437545,14.555511982570795,15.454662309368176
42,2019-01-01 00:00:00 UTC,CCA 137th and Hindry 1 (outside) (33.907907 -118.372605) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,33.907907,-118.372605,13.863946932006629,14.684494195688222
43,2019-09-23 00:00:00 UTC,CY (outside) (34.026945 -118.467935) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.026945,-118.467935,15.369107142857146,17.90232142857143
44,2019-01-01 00:00:00 UTC,CCA Lou Dillon and Nadeau (outside) (33.967491 -118.234682) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,33.967491,-118.234682,14.64044303797468,15.765569620253158
45,2019-01-01 00:00:00 UTC,1381 Rock Haven St (outside) (34.046755 -118.155307) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.046755,-118.155307,14.929816053511706,15.834163879598655
46,2019-10-11 00:00:00 UTC,Brooks Ave_7th Ave (outside) (33.997251 -118.465617) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,33.997251,-118.465617,14.586666666666666,20.69
47,2019-02-20 00:00:00 UTC,AQMD_NASA_248 (outside) (34.164769 -118.591147) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.164769,-118.591147,10.675776699029129,12.230145631067968
48,2019-08-01 00:00:00 UTC,Brentwood School West Campus (outside) (34.061087 -118.47584) Primary 1440_minute_average 01_01_2019 12_31_2019.csv,34.061087,-118.47584,11.73,17.13
